outbreak,date,naive_frequentist,naive_frequentist_lower,naive_frequentist_upper,naive_bayes_own_data,naive_bayes_own_data_lower,naive_bayes_own_data_upper,naive_bayes_historical,naive_bayes_historical_lower,naive_bayes_historical_upper,resolved_frequentist,resolved_frequentist_lower,resolved_frequentist_upper,resolved_bayes_own_data,resolved_bayes_own_data_lower,resolved_bayes_own_data_upper,resolved_bayes_historical,resolved_bayes_historical_lower,resolved_bayes_historical_upper,delay_adjusted_bayes_historical,delay_adjusted_bayes_historical_lower,delay_adjusted_bayes_historical_upper,delay_adjusted_bayes_own_data,delay_adjusted_bayes_own_data_lower,delay_adjusted_bayes_own_data_upper,delay_adjusted_frequentist,delay_adjusted_frequentist_lower,delay_adjusted_frequentist_upper
Kikwit,1995-06-15,0.7605633802816901,0.7065952560860824,0.8090043696260815,0.7593450424526484,0.7075876458456581,0.8064679634337526,0.7533633159769717,0.7023782006532631,0.8008584300936679,0.864,0.8151701151161584,0.903943290993849,0.8620669462126535,0.8158854380007335,0.9009134751300858,0.8620316035918978,0.8172459632922955,0.9016451640615811,0.8070557501594584,0.7569666301735288,0.851030402846712,0.8075698258177428,0.7566470874090235,0.8530446581099687,0.809,0.7591,0.8530000000000001
Kikwit,1995-06-16,0.7676056338028169,0.714066108366213,0.815466124213488,0.7663543533534137,0.7150338566155245,0.8129152479269576,0.7601043708581603,0.7094427524839513,0.8074131166563108,0.8650793650793651,0.816595253166735,0.9047211646401729,0.8631558886324381,0.8172996238825276,0.9017129651671373,0.863114818343069,0.8186266361511982,0.9024309694820233,0.808546317609802,0.7585021741585025,0.8524883837830893,0.8087754991860518,0.7581141649593872,0.8537713791806661,0.8104,0.7608,0.8541000000000001
Kikwit,1995-06-17,0.7649122807017544,0.7113084517775086,0.8129152479269576,0.7636779282474616,0.712281944699038,0.8103784673635472,0.7575878339059005,0.7068561255768793,0.8048517544830015,0.8650793650793651,0.816595253166735,0.9047211646401729,0.8631558886324381,0.8172996238825276,0.9017129651671373,0.863114818343069,0.8186266361511982,0.9024309694820233,0.8031373305093248,0.7526925708060668,0.8472073626780376,0.8033316655952389,0.7521729733459216,0.8483059834522312,0.8044,0.7545000000000001,0.8486
Kikwit,1995-06-18,0.759581881533101,0.705860545052726,0.8078557168654426,0.7583807710901205,0.7068451788810064,0.8053469288939983,0.7524659078536473,0.7017673590666296,0.7997646818513439,0.8650793650793651,0.816595253166735,0.9047211646401729,0.8631558886324381,0.8172996238825276,0.9017129651671373,0.863114818343069,0.8186266361511982,0.9024309694820233,0.7981174512389865,0.74766546635963,0.8425871744490442,0.7986086980104632,0.7479722069322161,0.842505306262582,0.7985,0.7484000000000001,0.8431000000000001
Kikwit,1995-06-19,0.7630662020905923,0.7095524883893386,0.811058114463861,0.7618489625997057,0.7105250737013951,0.8085421425113481,0.755896615494807,0.705216177337479,0.8030175272474792,0.8656126482213439,0.8172996238825276,0.9051053930119972,0.8636939375293906,0.8179986124528054,0.9021078882778089,0.8636500582846721,0.8193091972755986,0.9028191383761653,0.7972029555556845,0.7459922656571168,0.8398137063434586,0.7975725293710653,0.7468454985451847,0.8412638628449697,0.7993,0.7492000000000001,0.8437
Kikwit,1995-06-20,0.7604166666666666,0.7068451788810064,0.8085421425113481,0.7592158591835753,0.7078232648224787,0.8060400382498865,0.7533055909967319,0.70271140130933,0.8004861405662349,0.8622047244094488,0.8136036383217015,0.9021078882778089,0.8603113883170992,0.8143137624344088,0.8991231109179225,0.8602998519785054,0.8157487690160847,0.8998419838106366,0.7928876000637985,0.7416996832787098,0.836085516736095,0.7932853554923206,0.7427206678185562,0.8370160337846246,0.7935,0.7432000000000001,0.8383
Kikwit,1995-06-21,0.7604166666666666,0.7068451788810064,0.8085421425113481,0.7592158591835753,0.7078232648224787,0.8060400382498865,0.7533055909967319,0.70271140130933,0.8004861405662349,0.8622047244094488,0.8136036383217015,0.9021078882778089,0.8603113883170992,0.8143137624344088,0.8991231109179225,0.8602998519785054,0.8157487690160847,0.8998419838106366,0.788838782908069,0.737890074966608,0.8326117662498734,0.7893579041441339,0.7388978668375421,0.833089510276985,0.7906000000000001,0.7402000000000001,0.8357
Kikwit,1995-06-22,0.7604166666666666,0.7068451788810064,0.8085421425113481,0.7592158591835753,0.7078232648224787,0.8060400382498865,0.7533055909967319,0.70271140130933,0.8004861405662349,0.8622047244094488,0.8136036383217015,0.9021078882778089,0.8603113883170992,0.8143137624344088,0.8991231109179225,0.8602998519785054,0.8157487690160847,0.8998419838106366,0.7851267846877846,0.7343745736538817,0.829394906576124,0.785704573401182,0.7350057148555618,0.8295556641330181,0.7878000000000001,0.7373000000000001,0.8330000000000001
Kikwit,1995-06-23,0.7604166666666666,0.7068451788810064,0.8085421425113481,0.7592158591835753,0.7078232648224787,0.8060400382498865,0.7533055909967319,0.70271140130933,0.8004861405662349,0.8622047244094488,0.8136036383217015,0.9021078882778089,0.8603113883170992,0.8143137624344088,0.8991231109179225,0.8602998519785054,0.8157487690160847,0.8998419838106366,0.7818263101237883,0.7310632205792735,0.8263855921196159,0.7825414671717961,0.7315472669997237,0.8267143990542964,0.7821,0.7314,0.8277
Kikwit,1995-06-24,0.7708333333333334,0.717898314868485,0.8181007588980294,0.7695844720089148,0.7188404198327116,0.815577563823265,0.7632695526431439,0.7131558885131295,0.8101023722943369,0.8638132295719845,0.8157179237700071,0.9032738300658003,0.8619335747269075,0.8164120818224575,0.9003203109408597,0.8618992652108765,0.8177535658256551,0.901020358649116,0.7889004086719469,0.7392233721104923,0.833389897132615,0.7898856518735557,0.7395922906238523,0.8335905424974596,0.79,0.74,0.8348
