date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper,kaplan_meier_ghani,kaplan_meier_ghani_upper,kaplan_meier_ghani_lower,parametric_mixture,parametric_mixture_lower,parametric_mixture_upper,parametric_mixture_success
1976-09-19,97,0.422680412371134,0.3229983311257434,0.5272132268300947,0.9761904761904762,0.8743414428250078,0.9993973766983965,0.9111,0.8055,0.9715,0.9887640449438201,0.9245800725732237,0.9984194577463696,0.9887640449438202,0.9983202774786742,0.9287224220463576,0.9884319258569525,0.949996578464488,0.9993365025872137,True
1976-09-20,108,0.4351851851851852,0.3400282896421968,0.5339874729820567,0.9791666666666666,0.8893038394068478,0.9994726847465769,0.9216000000000001,0.8272,0.9749000000000001,0.9896907216494849,0.9304875295903797,0.9985496426226409,0.9896907216494845,0.9984683262819638,0.9339391514493833,0.9892313199601723,0.9533352338133811,0.9993828328344481,True
1976-09-21,114,0.4649122807017544,0.3709753113645592,0.5607166719903375,0.9814814814814815,0.9010848404921488,0.999531261596182,0.9138000000000001,0.8239000000000001,0.9681000000000001,0.9907407407407407,0.9372462336372527,0.9986971927067633,0.9907407407407407,0.9986297695282195,0.9401530669986998,0.9902225946092572,0.957511051705139,0.9994400991758885,True
1976-09-22,130,0.49230769230769234,0.4035805703686885,0.5813930674182196,0.9846153846153847,0.9172369122555336,0.9996105711089028,0.9846,0.9341,0.9991000000000001,0.9912955465587044,0.9408460101044209,0.9987751611838803,0.9912955465587044,0.9987126265518329,0.9435605870267134,0.9910462143973774,0.9611294891319002,0.9994871018098823,True
1976-09-23,142,0.4788732394366197,0.39440392402617075,0.564242178068888,0.9855072463768116,0.9218764642598366,0.9996331425552591,0.9444,0.8757,0.9824,0.920464241631705,0.7174026550580098,0.9813983598024719,0.9917068892235255,0.9987877175651708,0.94552340711596,0.9917763025350084,0.9641137645817087,0.99952961706509,True
1976-09-24,154,0.487012987012987,0.4057558058941844,0.5687794561864683,0.974025974025974,0.9093028448946593,0.9968387996999841,0.9494,0.8863000000000001,0.9839,0.9183309136697553,0.7403428095528414,0.9779471422230227,0.981422914786725,0.9949629715400076,0.9339036688013891,0.9815988719189129,0.9239578307120975,0.9969802788721338,True
1976-09-25,165,0.503030303030303,0.424264131558195,0.5816856787156723,0.9764705882352941,0.9175762555504241,0.9971376680783514,0.9432,0.8819,0.9792000000000001,0.9090437128715696,0.803997024468249,0.9605534325169555,0.983041569775177,0.9954228217887163,0.9392142241679512,0.9831218566640012,0.934374847480608,0.9972370288378062,True
1976-09-26,172,0.5465116279069767,0.4689576039470594,0.6224349525986621,0.9791666666666666,0.9267631692050123,0.9974669532108152,0.9792000000000001,0.9371,0.9965,0.9407276845615314,0.8507406072307359,0.9778734310740997,0.9846138634141697,0.9958640593967091,0.9444683655647312,0.9846237305326587,0.9447895260073266,0.9974772178553303,True
1976-09-27,179,0.5642458100558659,0.4882600995112755,0.6380680326901167,0.9805825242718447,0.9316140680996191,0.9976397420628914,0.9528000000000001,0.9014000000000001,0.9828,0.9319380866191478,0.8437073484414541,0.9720128005468214,0.9857150357481119,0.9960544837239566,0.9496501203769321,0.9857838230183436,0.9468061020972806,0.9976615371646629,True
1976-09-28,183,0.6229508196721312,0.5484636464370976,0.6933851800164561,0.9743589743589743,0.9268932096293925,0.9946806651020963,0.9913000000000001,0.9623,0.9995,0.9255992381580282,0.8430782847353222,0.966451455031507,0.9788891557523801,0.9923314314554472,0.9432318095641526,0.9790433654798263,0.9402970248392433,0.9948333930465039,True
1976-09-29,188,0.6808510638297872,0.6090862483615838,0.7468048986590983,0.9770992366412213,0.9345334122372114,0.9952521819713963,,,,0.9467254494128023,0.8744240367763993,0.9784257878086204,0.9807811600545632,0.9929904534137943,0.9484104671283283,0.9806563780019854,0.9481783832412172,0.9952051130277153,True
