date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,competing_risks_lower,competing_risks_upper,kaplan_meier_ghani,kaplan_meier_ghani_upper,kaplan_meier_ghani_lower,parametric_mixture,parametric_mixture_lower,parametric_mixture_upper,parametric_mixture_success,has_recovery_data
2022-09-08,16,0.0,0.0,0.2059072142078227,,,,0.0001,0.0001,0.1602,,,,,,,,,,False,False
2022-09-09,16,0.0,0.0,0.2059072142078227,,,,0.0001,0.0001,0.1373,,,,,,,,,,False,False
2022-09-10,16,0.0,0.0,0.2059072142078227,,,,0.0001,0.0001,0.1373,,,,,,,,,,False,False
2022-09-11,17,0.0,0.0,0.19506432296909318,,,,0.0001,0.0001,0.1373,,,,,,,,,,False,False
2022-09-12,18,0.0,0.0,0.1853019681378522,,,,0.0001,0.0001,0.1282,,,,,,,,,,False,False
2022-09-13,18,0.0,0.0,0.1853019681378522,,,,0.0001,0.0001,0.1202,,,,,,,,,,False,False
2022-09-14,19,0.0,0.0,0.17646691180696536,,,,0.0001,0.0001,0.1202,,,,,,,,,,False,False
2022-09-15,19,0.0,0.0,0.17646691180696536,,,,0.0001,0.0001,0.1131,,,,,,,,,,False,False
2022-09-16,20,0.05,0.0012650894979498038,0.24873276277202777,,0.025,1.0,0.0625,0.0037,0.2474,0.05555555555555555,0.007767572808460858,0.3065226255371113,1.0,,,0.05555555315726066,0.0032556688439350097,0.22258911857861513,True,False
2022-09-17,21,0.047619047619047616,0.0012048834483635127,0.23815990993682112,,0.025,1.0,0.058800000000000005,0.0035,0.2343,0.05555555555555555,0.007767572808460858,0.3065226255371113,1.0,,,0.05555555196011013,0.003255668843928248,0.22258911857888108,True,False
2022-09-18,22,0.045454545454545456,0.0011501475265735751,0.22844439766763341,,0.025,1.0,0.055600000000000004,0.0033,0.2225,0.05263157894736842,0.0073619348214861,0.29386204782351355,1.0,,,0.05411345278439784,0.003167036516904393,0.21775156159309964,True,False
2022-09-19,22,0.09090909090909091,0.011205586024150994,0.29161274155393346,,0.15811388300841897,1.0,0.1111,0.0194,0.30510000000000004,0.10835913312693499,0.027196038471837054,0.3456730934024511,1.0,,,0.10933048062041478,0.019034517775817866,0.30169709168958914,True,False
2022-09-20,22,0.8636363636363636,0.6508779027425919,0.9709441488712534,,0.8235330881930346,1.0,,,,1.0000000000000002,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.9036696157448006,0.99999999,True,False
2022-09-21,22,0.8636363636363636,0.6508779027425919,0.9709441488712534,,0.8235330881930346,1.0,,,,0.9999999999999999,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.9035261930240294,0.99999999,True,False
2022-09-22,27,0.7037037037037037,0.4981863336299986,0.8624734460594208,,0.8235330881930346,1.0,,,,1.0000000000000002,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.9033169726082035,0.99999999,True,False
2022-09-23,31,0.7096774193548387,0.5196393417710907,0.857771470902475,,0.8456274871844254,1.0,0.9999,0.9164,0.9999,1.0000000000000002,0.0,1.0,1.0,,,0.9999546021312976,0.882873321147556,0.99999999,True,False
2022-09-24,35,0.6285714285714286,0.4492311641873227,0.785267881885611,,0.8456274871844254,1.0,0.88,0.7177,0.9687,0.9999999999999998,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.8733730049301003,0.99999999,True,False
2022-09-25,38,0.6052631578947368,0.4338615386095295,0.7596121063559645,,0.8518148710847756,1.0,0.8214,0.6548,0.9319000000000001,1.0000000000000004,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.8684302527045794,0.99999999,True,False
2022-09-26,39,0.5897435897435898,0.4209986694048529,0.7443322031137672,,0.8518148710847756,1.0,0.7667,0.5974,0.8922,1.0000000000000002,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.8517480869536662,0.99999999,True,False
2022-09-27,40,0.575,0.4089005804269633,0.7295709687311371,,0.8518148710847756,1.0,0.7187,0.5503,0.8535,1.0,0.9999999999989999,0.9999999999989999,1.0,,,0.9999546021312976,0.8378579065694483,0.99999999,True,False
2022-09-28,46,0.5,0.34903815242370567,0.6509618475762944,0.92,0.7396941578947858,0.9901604099812025,0.6970000000000001,0.5296000000000001,0.8349000000000001,0.9296974554197553,0.7589430682865251,0.9823152363896733,0.9296974554197556,0.9783280881430961,0.7948275617602893,0.9058204993393183,0.7432975340791106,0.9834730701447177,True,True
2022-09-29,56,0.44642857142857145,0.31343608328158284,0.5852833372475432,0.9259259259259259,0.7571016531543728,0.9908999270576937,0.6757000000000001,0.5167,0.8111,0.9338942307692305,0.7715394646875415,0.9833603951067724,0.9338942307692307,0.9798732869888017,0.803898242897212,0.9053564922806787,0.7468452682664404,0.983211297285716,True,True
2022-09-30,56,0.4642857142857143,0.3299146902635437,0.6025639949700672,0.9285714285714286,0.7649652268254092,0.9912295032964729,0.5909,0.4436,0.7279,0.9426144511858796,0.7979234557677312,0.9855764378773301,0.9426144511858797,0.9822727371592908,0.8296239390337075,0.9122086263839951,0.7594583344250788,0.9846473222847353,True,True
