date,n,naive,naive_lower,naive_upper,resolved,resolved_lower,resolved_upper,delay_adjusted,delay_adjusted_lower,delay_adjusted_upper,competing_risks,kaplan_meier,parametric_mixture,parametric_mixture_success
1995-04-10,31,0.6451612903225806,0.45369560195063835,0.807732565574022,0.9523809523809523,0.761840090063179,0.9987951165516364,0.8696,0.6958000000000001,0.9658,0.9038269526172755,0.9556401991466927,0.9509420790565196,True
1995-04-11,32,0.65625,0.4680689637197313,0.8142809082834338,0.9545454545454546,0.7715556023323665,0.9988498524734264,0.875,0.7071000000000001,0.9673,0.9078507397019193,0.9595890162111886,0.9619769330874522,True
1995-04-12,33,0.6666666666666666,0.4817325275124178,0.8203948650674399,0.9565217391304348,0.7805133925465195,0.9988998313695585,0.88,0.7177,0.9687,0.9101003344481606,0.9611595617606637,0.9924244069686742,True
1995-04-13,34,0.7058823529411765,0.5252189396595142,0.8490163355769715,0.96,0.796483086077586,0.9989878003006891,0.9231,0.781,0.9867,0.918467386954782,0.9646060701574669,0.9796600349603193,True
1995-04-14,37,0.7297297297297297,0.5588063664242644,0.862097415586498,0.9642857142857143,0.8165224024553763,0.999096201244342,,,,0.9294597218860895,0.9647467230008867,0.9642427637206769,True
1995-04-15,38,0.7368421052631579,0.5689917562977604,0.8659662769750264,0.9655172413793104,0.822355704511277,0.9991273531164201,,,,0.931328768349445,0.9644435309120141,0.9626746166464827,True
1995-04-16,41,0.7073170731707317,0.5446260168346366,0.8387014302856923,0.9666666666666667,0.8278305443665873,0.9991564290733695,,,,0.9338340381233567,0.9657850877726549,0.9639011363619303,True
1995-04-17,45,0.6444444444444445,0.48780100514814595,0.7813159892644141,0.9666666666666667,0.8278305443665873,0.9991564290733695,0.9999,0.9359000000000001,0.9999,0.9326258802011888,0.9651385607069499,0.9612435876936699,True
1995-04-19,47,0.6170212765957447,0.46379938289163836,0.7549318309870803,0.9666666666666667,0.8278305443665873,0.9991564290733695,0.9062,0.7747,0.9758,0.9323690543973365,0.9670057296904664,0.9894533928947075,True
1995-04-20,50,0.58,0.43206043506556574,0.7181177588763025,0.9666666666666667,0.8278305443665873,0.9991564290733695,0.8788,0.7406,0.9606,0.9313215233549935,0.9675434107474751,0.9761683648258083,True
1995-04-21,51,0.5686274509803921,0.4224532258071154,0.7065451261594053,0.9666666666666667,0.8278305443665873,0.9991564290733695,0.8529,0.7102,0.9445,0.9321128451380555,0.9706311700204596,0.9653554326647403,True
1995-04-22,52,0.5961538461538461,0.45101577030155116,0.7299402604083106,0.96875,0.8378290058184884,0.9992091314020475,0.8611000000000001,0.7250000000000001,0.9478000000000001,0.9339225083740921,0.9728190863869632,0.9706508254629919,True
1995-04-23,59,0.5423728813559322,0.40754402078777124,0.672803988382421,0.9696969696969697,0.8424060277275032,0.9992330879249519,0.8649,0.7318,0.9492,0.9333672053417721,0.974748013183749,0.9730872774576161,True
1995-04-24,63,0.5238095238095238,0.39408375507846266,0.6512232887337102,0.9705882352941176,0.8467323304396823,0.9992556357653097,0.8462000000000001,0.7126,0.9357000000000001,0.9318033466944579,0.9773146716097384,0.945293016193625,True
1995-04-25,67,0.5074626865671642,0.3824010800605265,0.6318434707131206,0.9714285714285714,0.8508279203435684,0.999276895623662,0.8293,0.6960000000000001,0.9227000000000001,0.9268300288382337,0.9770315361792004,0.9700874558209429,True
1995-04-26,69,0.5507246376811594,0.42618578940479196,0.6707701523210674,0.9743589743589743,0.865236078440502,0.999351036104518,0.8837,0.7666000000000001,0.9566,0.936650864672116,0.9767887400951614,0.9765995029195719,True
1995-04-27,72,0.5416666666666666,0.42004440907454305,0.6597541604629669,0.975,0.8684141415172343,0.9993672550679505,0.8667,0.7482000000000001,0.9447000000000001,0.9303059345110367,0.9781751583155326,0.9758423925080449,True
1995-04-28,77,0.5324675324675324,0.41521324612862087,0.6471488950644864,0.9761904761904762,0.8743414428250078,0.9993973766983965,0.8542000000000001,0.7371000000000001,0.9345,0.9431705557505796,0.9792165626852873,0.9775599622277089,True
1995-04-29,80,0.5375,0.42241752800483495,0.6497235734616018,0.9772727272727273,0.8797584177936526,0.9994247607866369,0.86,0.7469,0.9372,0.9385260738563905,0.9789093919741251,0.9775513223321413,True
1995-04-30,90,0.5333333333333333,0.42512734474491604,0.6392843213872084,0.9795918367346939,0.891458236031593,0.9994834435024067,0.9057000000000001,0.8082,0.9650000000000001,0.9407328307265983,0.982254357025692,0.9802165356995152,True
1995-05-01,102,0.47058823529411764,0.37097329328526296,0.571955518249299,0.9795918367346939,0.891458236031593,0.9994834435024067,0.8571000000000001,0.7504000000000001,0.932,0.9289088877916262,0.9828535592638142,0.9819418800385521,True
1995-05-02,117,0.41025641025641024,0.32018668593347177,0.5049817089915458,0.9795918367346939,0.891458236031593,0.9994834435024067,0.8136,0.7021000000000001,0.8984000000000001,0.9204650323658224,0.9838555310319379,0.9829447693504466,True
1995-05-03,123,0.3902439024390244,0.3035939522623037,0.4823081415410375,0.9411764705882353,0.8375777819279495,0.9877009117447599,0.7619,0.6477,0.8553000000000001,0.8755021606538609,0.9208348481916435,0.9371604187135315,True
1995-05-04,129,0.3798449612403101,0.29588089656634114,0.4694579375428581,0.9423076923076923,0.840526641361409,0.9879406819732616,0.7206,0.6072000000000001,0.8177000000000001,0.849619337299419,0.9277599121035376,0.9382197393546018,True
1995-05-05,137,0.36496350364963503,0.2844418234709086,0.4514599101975745,0.9433962264150944,0.843370537827625,0.9881712811408664,0.6849000000000001,0.5733,0.7838,0.8303926289513829,0.933860233930832,0.9398369163852203,True
1995-05-06,138,0.3695652173913043,0.2890231874222043,0.45583509347532086,0.9444444444444444,0.8461149662083666,0.9883932256200587,0.6456000000000001,0.5367000000000001,0.7451,0.8036992050965862,0.9347150712301476,0.9415173082490754,True
1995-05-07,143,0.38461538461538464,0.30454434927815577,0.4695714519514984,0.9482758620689655,0.8561953727246554,0.9892035219157053,0.6548,0.5496,0.7506,0.7942834387484101,0.9333359023907268,0.9466793761580454,True
1995-05-08,151,0.37748344370860926,0.299966497565873,0.459909277566172,0.95,0.8607567532789272,0.9895676703556517,0.6333000000000001,0.5311,0.7281000000000001,0.7745841893802115,0.9291139967556384,0.9493575619477488,True
1995-05-09,157,0.4012738853503185,0.32395153523987236,0.48239634067973397,0.9545454545454546,0.8728574940886829,0.9905262614362937,0.6562,0.5581,0.7462000000000001,0.7615037845368143,0.9350110699751166,0.9545267560413426,True
1995-05-10,165,0.42424242424242425,0.34778347159541273,0.5034727974209063,0.9459459459459459,0.8673448587781756,0.9850776548078481,0.6863,0.5925,0.7709,0.7564018674403968,0.9039059425150371,0.9360978601075974,True
1995-05-11,168,0.5,0.42200953987306594,0.577990460126934,0.9545454545454546,0.887690750816084,0.9874781768786834,0.7778,0.6935,0.8491000000000001,0.8487684796744074,0.9406738837872087,0.9495352919214423,True
1995-05-12,172,0.563953488372093,0.4863790623805969,0.6392852945464256,0.9509803921568627,0.8893043373644727,0.9838941811560764,0.8509,0.7781,0.9081,0.9013284381422273,0.9454932557501765,0.9493092817409264,True
1995-05-13,179,0.6033519553072626,0.527667768665523,0.6755535750510123,0.9473684210526315,0.8889598328917169,0.9804427961144567,0.9076000000000001,0.8470000000000001,0.9508000000000001,0.9086149829774784,0.9441266867763821,0.9461375428742909,True
1995-05-14,189,0.5978835978835979,0.524250297027819,0.6683959974445687,0.9495798319327731,0.893484985287976,0.9812744919450944,0.904,0.8443,0.9473,0.9083487779144224,0.9466141230580728,0.9487488164337121,True
1995-05-15,192,0.625,0.5524088723044656,0.69366659184674,0.9375,0.880563216606146,0.9726333151136292,0.916,0.8606,0.9554,0.9005452887678806,0.9354102373177592,0.9219713986865572,True
1995-05-16,203,0.625615763546798,0.5551300417762179,0.6923744160263875,0.927007299270073,0.8698606530850659,0.9644436895023731,0.927,0.8756,0.9627,0.8870727561017399,0.9250704692668307,0.9129881288909562,True
1995-05-17,208,0.6153846153846154,0.5456007065370789,0.6818293023368629,0.927536231884058,0.8707743093020714,0.9647054469355054,0.8951,0.8380000000000001,0.9382,0.8832151303764879,0.9260102281224554,0.9298473696073754,True
