date,naive,resolved,delay_adjusted
2018-11-25,0.5188172043010753,0.6632302405498282,0.6496775485207723
2018-11-26,0.5187165775401069,0.6643835616438356,0.641614092779022
2018-11-27,0.52,0.6655290102389079,0.633528142046823
2018-11-28,0.5224274406332454,0.668918918918919,0.6317620714717124
2018-11-29,0.5263157894736842,0.6711409395973155,0.6275166870767117
2018-11-30,0.5284974093264249,0.6754966887417219,0.6296429429957571
2018-12-01,0.5280612244897959,0.6786885245901639,0.6293849909426771
2018-12-02,0.5353535353535354,0.6838709677419355,0.6350200955586165
2018-12-03,0.5432098765432098,0.6918238993710691,0.6489365746735635
2018-12-04,0.5439024390243903,0.6947040498442367,0.6488544997257282
2018-12-05,0.5319148936170213,0.6965944272445821,0.6458696732395556
2018-12-06,0.5291375291375291,0.6984615384615385,0.6425602328615749
2018-12-07,0.5260770975056689,0.703030303030303,0.6465587639986857
2018-12-08,0.5269058295964125,0.7057057057057057,0.6446118333098385
2018-12-09,0.5266666666666666,0.7074626865671642,0.6395042335092317
2018-12-10,0.5331858407079646,0.7109144542772862,0.6391746880204375
2018-12-11,0.5470459518599562,0.7183908045977011,0.6511148809786722
2018-12-12,0.5460385438972163,0.7223796033994334,0.653239072695758
2018-12-13,0.5454545454545454,0.7247191011235955,0.6506992082501666
2018-12-14,0.5467775467775468,0.7285318559556787,0.6529182941616329
2018-12-15,0.5486542443064182,0.7300275482093664,0.6480625244098631
2018-12-16,0.5437881873727087,0.7315068493150685,0.6433284315685999
2018-12-17,0.548582995951417,0.7344173441734417,0.6433213952683233
2018-12-18,0.5548902195608783,0.7393617021276596,0.6500668499176705
2018-12-19,0.5625,0.7461139896373057,0.6633515509353095
2018-12-20,0.5728155339805825,0.7506361323155216,0.6697859021182002
2018-12-21,0.5761078998073218,0.7531486146095718,0.6695239521195793
2018-12-22,0.5684410646387833,0.7531486146095718,0.6608845034016002
2018-12-23,0.5725047080979284,0.7562189054726368,0.6629489946036922
2018-12-24,0.5719626168224299,0.7574257425742574,0.6588741138165041
2018-12-25,0.5735567970204841,0.7586206896551724,0.6550143909005216
2018-12-26,0.569060773480663,0.7592137592137592,0.6494630469502101
2018-12-27,0.5706422018348624,0.7603911980440098,0.6462925378612786
2018-12-28,0.5724770642201835,0.7609756097560976,0.6414831042736744
2018-12-29,0.5711678832116789,0.7615571776155717,0.6371399536030842
2018-12-30,0.5727272727272728,0.7627118644067796,0.635253577044119
2018-12-31,0.5740072202166066,0.7644230769230769,0.6357319310157424
2019-01-01,0.5714285714285714,0.7655502392344498,0.6346710309003102
