date,n,naive,resolved,delay_adjusted,competing_risks,kaplan_meier,parametric_mixture,parametric_mixture_success
1995-04-29,80,0.5375,0.9772727272727273,0.8543148222956036,0.9385260738563905,0.9732512094021999,0.9775513223321413,True
1995-04-30,90,0.5333333333333333,0.9795918367346939,0.9058729438061952,0.9407328307265983,0.9772973475579425,0.9802165356995152,True
1995-05-01,102,0.47058823529411764,0.9795918367346939,0.8584670767545549,0.9289088877916262,0.978402300072598,0.9819418800385521,True
1995-05-02,117,0.41025641025641024,0.9795918367346939,0.8090095354671881,0.9204650323658224,0.9798286038279317,0.9829447693504466,True
1995-05-03,123,0.3902439024390244,0.9411764705882353,0.7564713518244247,0.8755021606538609,0.7177181713273997,0.9371604187135315,True
1995-05-04,129,0.3798449612403101,0.9423076923076923,0.7185660267345713,0.849619337299419,0.7626421701743207,0.9382197393546018,True
1995-05-05,137,0.36496350364963503,0.9433962264150944,0.6816671689998517,0.8303926289513829,0.7941157266728349,0.9398369163852203,True
1995-05-06,138,0.3695652173913043,0.9444444444444444,0.646763610050063,0.8036992050965862,0.814799278929072,0.9415173082490754,True
1995-05-07,143,0.38461538461538464,0.9482758620689655,0.6508884260281796,0.7942834387484101,0.814210317997821,0.9466793761580454,True
1995-05-08,151,0.37748344370860926,0.95,0.6322275766416122,0.7745841893802115,0.8117773633265833,0.9493575619477488,True
1995-05-09,157,0.4012738853503185,0.9545454545454546,0.6570393430221609,0.7615037845368143,0.8305628031838947,0.9545267560413426,True
1995-05-10,165,0.42424242424242425,0.9459459459459459,0.6883119950498517,0.7564018674403968,0.7451591278757981,0.9360978601075974,True
1995-05-11,168,0.5,0.9545454545454546,0.7805134958978247,0.8487684796744074,0.7667775105439385,0.9495352919214423,True
1995-05-12,172,0.563953488372093,0.9509803921568627,0.8541068919331138,0.9013284381422273,0.795571394299759,0.9493092817409264,True
1995-05-13,179,0.6033519553072626,0.9473684210526315,0.9042094663108412,0.9086149829774784,0.80503047813412,0.9461375428742909,True
1995-05-14,189,0.5978835978835979,0.9495798319327731,0.9020068946577252,0.9083487779144224,0.8171031212255339,0.9487488164337121,True
1995-05-15,192,0.625,0.9375,0.9145498301333274,0.9005452887678806,0.807892131870216,0.9219713986865572,True
1995-05-16,203,0.625615763546798,0.927007299270073,0.9257221159514509,0.8870727561017399,0.798019311335384,0.9129881288909562,True
1995-05-17,208,0.6153846153846154,0.927536231884058,0.8933908874327644,0.8832151303764879,0.8077924065226424,0.9298473696073754,True
1995-05-18,216,0.5972222222222222,0.9148936170212766,0.8630628503405325,0.8670329209181672,0.7884036430647317,0.9163334598698913,True
1995-05-19,219,0.6027397260273972,0.9166666666666666,0.8475034454537548,0.8605656339741493,0.7898435097553635,0.9184082133156144,True
1995-05-20,221,0.6244343891402715,0.9139072847682119,0.8516701160645183,0.9187345381625185,0.8193326575541465,0.9152616429768635,True
1995-05-21,229,0.6244541484716157,0.89375,0.8503597648004196,0.8851181010955592,0.6669194216038471,0.8874726068742239,True
1995-05-22,233,0.6180257510729614,0.8727272727272727,0.8266552206029442,0.8621297819553373,0.6331766500912013,0.8626628136647508,True
1995-05-23,237,0.6455696202531646,0.8793103448275862,0.8492934557886233,0.8680688765335807,0.6374222239948238,0.8706641711639143,True
1995-05-24,238,0.6722689075630253,0.8791208791208791,0.8603222282131734,0.8652806552944998,0.6130926620097329,0.8693849461547453,True
1995-05-25,241,0.6887966804979253,0.8829787234042553,0.8664718084894791,0.8705856162026366,0.6218665696676566,0.8740310261636608,True
1995-05-26,246,0.6991869918699187,0.8865979381443299,0.8734374754027963,0.87431188769724,0.6335069174288741,0.8780463170745048,True
1995-05-27,249,0.714859437751004,0.89,0.880895092830432,0.8795567352199704,0.6398126452408005,0.8825548393868788,True
1995-05-28,250,0.74,0.893719806763285,0.8935685870251885,0.8852375636185625,0.6500562334438194,0.887254297322186,True
1995-05-29,251,0.749003984063745,0.8867924528301887,0.8877751954092957,0.8778139704343539,0.6397396978481501,0.8801856256285873,True
1995-05-30,254,0.7519685039370079,0.8842592592592593,0.8834213905349362,0.8765732317996568,0.6410316221116246,0.8781762943473284,True
1995-05-31,255,0.7529411764705882,0.8847926267281107,0.8712028187132274,0.8785761124757677,0.6520790681469815,0.8785875069550405,True
1995-06-01,258,0.751937984496124,0.8858447488584474,0.8648701235665731,0.8799370999774868,0.6587767330291409,0.8795246376493907,True
